committee_id,state,zipcode,transaction_date,transaction_amount
C00010603,GA,300874518,12162016,10
C00575795,NY,104554717,12232016,25
C00010603,TX,787362854,12312016,250
C00010603,DC,200083419,12172016,25
C00010603,RI,029065707,12282016,35
C00010603,CA,951182015,12172016,10
C00581199,HI,96753,12042016,100
C00425975,AR,722120000,12022016,10
C00010603,NC,286559117,12282016,25
C00458000,CA,91106,12182016,50
C00010603,SC,295855125,12062016,50
C00010603,VA,240913339,12092016,50
C00267849,NJ,074221857,12312016,20
C00010603,WA,980561017,12282016,10
C00010603,NC,275394701,12062016,100
C00010603,MA,021393391,12212016,50
C00010603,IL,604221728,11302016,10
C00010603,CA,951261556,12012016,50
C00343459,CA,950306255,12292016,500
C00620518,FL,342422427,12312016,1000
C00575795,TX,750523870,12022016,50
C00010603,TX,787316062,12162016,10
C00033555,GA,31757,12012016,5
C00010603,OR,972145464,12062016,50
C00010603,AZ,857187300,12142016,10
C00010603,NY,139054222,12092016,10
C00458000,CA,90291,12182016,5
C00267849,FL,90046,12312016,25
C00581199,NY,10003,12022016,75
C00010603,TX,760876742,12282016,10
C00010603,GA,300333413,12272016,10
C00010603,ID,837063526,12092016,10
C00286807,TX,75423,12202016,20
C00581199,CA,94901,11302016,500
C00581199,OR,97520,12052016,1000
C00010603,CO,802264432,12052016,10
C00010603,VA,232253556,12252016,50
C00010603,OH,455029507,12182016,25
C00010603,PA,191192915,12212016,27
C00010603,VA,201702513,11302016,10
C00438747,FL,32754,12132016,100
C00010603,VA,201914013,12222016,50
C00033555,GA,30180,12292016,5
C00580100,NY,10021,12122016,74
C00580100,TX,76092,12282016,240
C00010603,IA,520319557,12242016,10
C00010603,FL,335736266,12262016,50
C00010603,AZ,852843427,12192016,10
C00010603,MD,217014081,12172016,5
C00580100,PA,17036,12232016,250
C00010603,NC,275394701,12232016,100
C00010603,TN,379226562,12282016,50
C00425975,GA,305110000,12022016,10
C00010603,GA,301526456,12142016,25
C00458000,NY,10548,12112016,6
C00458000,TX,778025313,12182016,6
C00575795,MN,551132382,12092016,50
C00581199,ME,04107,12032016,400
C00580100,NY,11731,12012016,60
C00216184,CA,92103,12312016,30
C00544957,NC,28056,12312016,100
C00010603,IL,629012007,12022016,10
C00010603,PA,164415403,11302016,10
C00021121,NY,14224,12052016,229
C00010603,MA,024671058,12022016,10
C00438747,GA,30064,12192016,35
C00010603,OK,740192287,12282016,25
C00010603,VA,221932365,12282016,25
C00010603,MI,499312729,12272016,10
C00010603,CA,939404312,12232016,10
C00580100,NC,28405,11302016,250
C00010603,AZ,857163083,12232016,50
C00425975,PA,175220000,12302016,9
C00010603,MA,017411723,12202016,100
C00458000,MA,,12182016,100
C00010603,TX,787371027,12282016,50
C00575795,MD,208782038,12022016,100
C00010603,CA,927828602,12282016,10
C00010603,DC,200164901,12192016,10
C00010603,NY,100238318,12282016,25
C00010603,FL,337115109,12272016,10
C00582304,VA,223146250,12132016,500
C00010603,MO,641183628,12162016,10
C00006486,IN,46077,12152016,4000
C00010603,SD,571057036,12282016,25
C00021121,NY,10989,12222016,20
C00002972,FL,335588034,12052016,20
C00607416,FL,33480,12292016,700
C00286807,AK,99504,12202016,20
C00425975,NC,282700000,12022016,40
C00575795,FL,341355887,12142016,10
C00010603,CA,951171647,12142016,10
C00589234,MN,55106,12202016,300
C00550491,IL,60603,12062016,25
C00580100,TX,75454,12012016,2000
C00010603,CA,951123030,11302016,469
C00010603,TX,761074848,12082016,50
C00010603,CA,920845123,12062016,10
C00010603,WA,980127749,12282016,10
C00580100,DC,20020,12012016,694
C00010603,TX,750824064,12072016,25
C00161067,TX,772931071,12212016,10
C00425975,AR,722120000,12162016,20
C00010603,IL,617015729,12262016,25
C00580100,AL,35242,12012016,800
C00364935,PA,15501,12122016,1550
C00010603,OR,974158165,12282016,10
C00033555,GA,30180,12222016,5
C00010603,CA,947072010,12282016,20
C00286807,TX,76248,12202016,20
C00588459,KS,672051438,12312016,157
C00002972,OH,433519557,12082016,45
C00010603,NY,128012253,12212016,10
C00458000,CA,90039,12252016,7
C00237198,PA,15217,12312016,-2700
C00580100,NY,12047,12102016,-250
C00306860,CA,949201511,12012016,500
C00575795,CA,917113814,12142016,25
C00010603,CA,900425000,12282016,50
C00620518,FL,33924,12302016,3700
C00286807,UT,84037,12202016,40
C00458000,CA,94960,12312016,100
C00458000,NV,89703,12312016,62
C00406892,CA,95054,12312016,38
C00010603,FL,331402023,12282016,50
C00575795,OR,973175643,12192016,125
C00580100,WA,98053,12212016,-74
C00458000,KS,66502,12312016,25
C00010603,TX,790830639,12282016,50
C00580100,NY,10001,12012016,5400
C00010603,GA,303093384,12062016,10
C00362707,CA,95134,12312016,57
C00438747,OR,97392,12042016,50
C00610212,FL,34102,12172016,2700
C00581199,CT,06840,12032016,250
C00010603,IN,474549624,12232016,10
C00438747,CA,95818,12012016,100
C00458000,MN,551264132,12182016,3
C00325076,CA,95494,12292016,100
C00010603,TN,372141611,12232016,10
C00033555,GA,31792,12222016,5
C00010603,MD,207701663,11302016,10
C00010603,VA,223081214,12062016,50
C00575795,DE,199683405,12212016,32
C00010603,CA,947072506,12272016,25
C00010603,SC,293021939,12102016,100
C00010603,NY,100263616,12172016,25
C00010603,NY,108013050,12252016,25
C00002972,IL,625366556,12192016,180
C00010603,CA,940253068,12022016,10
C00010603,IL,606261509,12012016,10
C00010603,AL,352052123,12112016,10
C00580100,WA,98053,12212016,-74
C00010603,NY,113643230,12282016,250
C00230789,CA,91367,12162016,20
C00010603,AZ,852545112,12282016,10
C00010603,CT,063572026,12282016,25
C00575795,PA,170221309,12162016,25
C00306860,IN,463109444,12092016,50
C00580100,PA,19015,12172016,-100
C00425975,AR,722120000,12302016,25
C00010603,CA,950705425,12012016,20
C00010603,NV,894504223,12282016,25
C00237495,CA,95814,12192016,114
C00002972,NE,685073306,12082016,41
C00575795,CA,949473611,12262016,-30
C00464297,MA,027603908,12282016,250
C00580100,NY,10128,12012016,1000
C00010603,TX,752202225,12142016,100
C00569707,OR,97741,12062016,321
C00580100,NY,11757,12222016,250
C00010603,VA,229011293,12152016,25
C00010603,CA,940805110,12112016,100
C00010603,CA,945080843,12022016,25
C00010603,IL,606403113,12052016,10
C00010603,CT,069032115,12212016,10
C00010603,NY,100092104,12232016,10
C00010603,PA,152172517,12282016,15
C00002972,FL,335588034,12152016,20
C00002972,OH,448679637,12122016,50
C00458000,NY,104711414,12182016,35
C00002972,MI,490932333,12232016,25
C00458000,TX,75082,12182016,25
C00362707,CA,95134,12312016,115
C00575795,MD,212174282,12032016,100
C00010603,AR,720400908,12252016,10
C00010603,CA,954047645,12262016,25
C00428581,IL,62526,12312016,21
